Characteristic,Total,Public Total Number,Public Number MOE,Public Total Percent,Public Percent MOE,Medicare Number,Medicare Number MOE,Medicare Percent,Medicare Percent MOE,Medicaid Number,Medicaid Number MOE,Medicaid Percent,Medicaid Percent MOE,VA/CHAMPVA Number,VA/CHAMPVA Number MOE,VA/CHAMPVA Percent,VA/CHAMPVA Percent MOE
Total,"324,550","110,687",967,34.1,0.3,"58,779",408.0,18.1,0.1,"55,851",927.0,17.2,0.3,"3,221",188.0,1.0,0.1
Family Status,,,,,,,,,,,,,,,,,
In families,"262,991","86,152",972,32.8,0.4,"40,424",487.0,15.4,0.2,"47,827",876.0,18.2,0.3,"2,133",156.0,0.8,0.1
..Householder,"83,698","29,205",390,34.9,0.4,"20,110",294.0,24.0,0.3,"9,921",251.0,11.9,0.3,"1,167",97.0,1.4,0.1
..Related children under 18,"71,148","24,378",506,34.3,0.7,207,48.0,0.3,0.1,"24,070",496.0,33.8,0.7,146,46.0,0.2,0.1
....Related children under 6,"22,439","8,221",250,36.6,1.1,59,21.0,0.3,0.1,"8,128",244.0,36.2,1.1,55,25.0,0.2,0.1
In unrelated subfamilies,941,359,73,38.2,6.2,16,10.0,1.7,1.1,347,70.0,36.8,6.1,5,7.0,0.5,0.7
Unrelated individuals,"60,618","24,176",437,39.9,0.6,"18,340",370.0,30.3,0.5,"7,677",281.0,12.7,0.4,"1,083",100.0,1.8,0.2
Race3 and Hispanic Origin,,,,,,,,,,,,,,,,,
White,"247,869","83,061",805,33.5,0.3,"48,454",379.0,19.5,0.2,"37,209",754.0,15.0,0.3,"2,599",164.0,1.0,0.1
"..White, not Hispanic","194,518","64,205",688,33.0,0.4,"43,790",357.0,22.5,0.2,"22,392",631.0,11.5,0.3,"2,303",153.0,1.2,0.1
Black,"42,991","17,954",383,41.8,0.9,"6,496",142.0,15.1,0.3,"12,386",371.0,28.8,0.9,431,71.0,1.0,0.2
Asian,"19,905","5,021",192,25.2,0.9,"2,596",94.0,13.0,0.5,"2,764",185.0,13.9,0.9,76,22.0,0.4,0.1
Hispanic (any race),"60,517","21,639",472,35.8,0.8,"5,201",128.0,8.6,0.2,"17,128",464.0,28.3,0.8,343,63.0,0.6,0.1
Age,,,,,,,,,,,,,,,,,
Under 65 years,"269,908","59,438",948,22.0,0.3,"7,605",284.0,2.8,0.1,"52,572",890.0,19.5,0.3,"1,816",136.0,0.7,0.1
..Under 19 years 4,"76,636","26,261",521,34.3,0.7,240,54.0,0.3,0.1,"25,919",512.0,33.8,0.7,153,46.0,0.2,0.1
....Under 3 years 5,"10,777","3,943",156,36.6,1.3,33,16.0,0.3,0.2,"3,887",151.0,36.1,1.3,41,22.0,0.4,0.2
....3 to 5 years,"11,932","4,457",172,37.4,1.4,26,14.0,0.2,0.1,"4,421",171.0,37.1,1.4,14,10.0,0.1,0.1
....6 to 11 years,"24,395","8,606",236,35.3,1.0,49,22.0,0.2,0.1,"8,516",235.0,34.9,0.9,49,23.0,0.2,0.1
....12 to 18 years,"29,533","9,255",246,31.3,0.8,132,40.0,0.4,0.1,"9,095",244.0,30.8,0.8,50,21.0,0.2,0.1
..19 to 64 years,"193,272","33,178",613,17.2,0.3,"7,365",269.0,3.8,0.1,"26,653",555.0,13.8,0.3,"1,662",120.0,0.9,0.1
....19 to 25 years 6,"29,605","5,094",214,17.2,0.7,354,61.0,1.2,0.2,"4,780",210.0,16.1,0.7,58,22.0,0.2,0.1
....26 to 34 years,"40,511","7,215",237,17.8,0.6,790,87.0,1.9,0.2,"6,391",231.0,15.8,0.6,326,51.0,0.8,0.1
....35 to 44 years,"41,412","6,461",232,15.6,0.6,"1,005",106.0,2.4,0.3,"5,511",205.0,13.3,0.5,375,55.0,0.9,0.1
