Characteristic,Total,Uninsured Number,Uninsured Number MOE,Uninsured Percent,Uninsured Percent MOE
Total,"325,638","27,957",612.0,8.6,0.2
Family Status,,,,,
In families,"261,847","21,255",521.0,8.1,0.2
..Householder,"83,918","6,414",184.0,7.6,0.2
..Related children under 18,"70,976","3,861",210.0,5.4,0.3
....Related children under 6,"22,191","1,178",110.0,5.3,0.5
In unrelated subfamilies,"1,017",137,43.0,13.5,3.8
Unrelated individuals,"62,774","6,565",270.0,10.5,0.4
Race3 and Hispanic Origin,,,,,
White,"247,763","20,631",512.0,8.3,0.2
"..White, not Hispanic","194,230","10,419",386.0,5.4,0.2
Black,"43,427","4,523",244.0,10.4,0.6
Asian,"20,125","1,180",115.0,5.9,0.6
Hispanic (any race),"61,160","11,192",411.0,18.3,0.7
Age,,,,,
Under 65 years,"269,802","27,395",616.0,10.2,0.2
..Under 19 years 4,"76,156","4,291",224.0,5.6,0.3
....Under 3 years 5,"10,688",625,79.0,5.8,0.7
....3 to 5 years,"11,800",577,67.0,4.9,0.6
....6 to 11 years,"24,397","1,212",97.0,5.0,0.4
....12 to 18 years,"29,271","1,878",138.0,6.4,0.5
..19 to 64 years,"193,646","23,103",520.0,11.9,0.3
....19 to 25 years 6,"29,269","4,210",188.0,14.4,0.6
....26 to 34 years,"40,916","5,809",236.0,14.2,0.6
....35 to 44 years,"42,004","5,224",229.0,12.4,0.5
....45 to 64 years,"81,457","7,860",264.0,9.6,0.3
65 and over,"55,836",563,69.0,1.0,0.1
Sex,,,,,
Male,"159,691","15,304",378.0,9.6,0.2
Female,"165,947","12,653",331.0,7.6,0.2
Nativity,,,,,
Native-born,"280,839","19,290",506.0,6.9,0.2
Foreign-born,"44,799","8,667",372.0,19.3,0.7
..Naturalized citizen,"22,667","1,887",133.0,8.3,0.5
..Not a citizen,"22,132","6,780",347.0,30.6,1.2
Region,,,,,
Northeast,"54,771","2,619",212.0,4.8,0.4
Midwest,"67,436","4,189",259.0,6.2,0.4
South,"125,396","14,741",445.0,11.8,0.4
West,"78,035","6,409",270.0,8.2,0.3
Household Income,,,,,
"Less than $25,000","41,274","5,942",330.0,14.4,0.7
"$25,000 to less than $50,000","55,310","6,945",350.0,12.6,0.6
"$50,000 to less than $75,000","52,757","6,000",297.0,11.4,0.5
"$75,000 to less than $100,000","42,567","3,394",237.0,8.0,0.5
"$100,000 to less than $125,000","34,538","2,364",219.0,6.8,0.6
