Characteristic,Total,Uninsured Number,Uninsured Number MOE,Uninsured Percent,Uninsured Percent MOE
Total,"324,550","26,111",657.0,8.0,0.2
Family Status,,,,,
In families,"262,991","19,480",586.0,7.4,0.2
..Householder,"83,698","5,800",201.0,6.9,0.2
..Related children under 18,"71,148","3,552",211.0,5.0,0.3
....Related children under 6,"22,439","1,066",98.0,4.8,0.4
In unrelated subfamilies,941,89,37.0,9.4,3.6
Unrelated individuals,"60,618","6,543",265.0,10.8,0.4
Race3 and Hispanic Origin,,,,,
White,"247,869","19,381",568.0,7.8,0.2
"..White, not Hispanic","194,518","10,187",426.0,5.2,0.2
Black,"42,991","4,118",218.0,9.6,0.5
Asian,"19,905","1,240",146.0,6.2,0.7
Hispanic (any race),"60,517","10,122",407.0,16.7,0.7
Age,,,,,
Under 65 years,"269,908","25,517",653.0,9.5,0.2
..Under 19 years 4,"76,636","3,994",228.0,5.2,0.3
....Under 3 years 5,"10,777",588,75.0,5.5,0.7
....3 to 5 years,"11,932",509,60.0,4.3,0.5
....6 to 11 years,"24,395","1,222",105.0,5.0,0.4
....12 to 18 years,"29,533","1,676",133.0,5.7,0.5
..19 to 64 years,"193,272","21,523",537.0,11.1,0.3
....19 to 25 years 6,"29,605","4,202",229.0,14.2,0.7
....26 to 34 years,"40,511","5,379",215.0,13.3,0.5
....35 to 44 years,"41,412","4,716",219.0,11.4,0.5
....45 to 64 years,"81,744","7,227",267.0,8.8,0.3
65 and over,"54,642",594,80.0,1.1,0.1
Sex,,,,,
Male,"159,103","14,029",390.0,8.8,0.2
Female,"165,446","12,082",369.0,7.3,0.2
Nativity,,,,,
Native-born,"279,653","18,134",566.0,6.5,0.2
Foreign-born,"44,897","7,977",333.0,17.8,0.7
..Naturalized citizen,"22,750","1,977",146.0,8.7,0.6
..Not a citizen,"22,147","6,000",298.0,27.1,1.1
Region,,,,,
Northeast,"55,080","2,611",202.0,4.7,0.4
Midwest,"67,486","3,846",283.0,5.7,0.4
South,"124,084","13,701",520.0,11.0,0.4
West,"77,900","5,953",308.0,7.6,0.4
Household Income,,,,,
