Characteristic,Total,Public Total Number,Public Number MOE,Public Total Percent,Public Percent MOE,Medicare Number,Medicare Number MOE,Medicare Percent,Medicare Percent MOE,Medicaid Number,Medicaid Number MOE,Medicaid Percent,Medicaid Percent MOE,VA/CHAMPVA Number,VA/CHAMPVA Number MOE,VA/CHAMPVA Percent,VA/CHAMPVA Percent MOE
Total,"325,638","113,337",923,34.8,0.3,"59,844",393.0,18.4,0.1,"57,921",893,17.8,0.3,"2,979",175.0,0.9,0.1
Family Status,,,,,,,,,,,,,,,,,
In families,"261,847","87,156",900,33.3,0.3,"40,922",478.0,15.6,0.2,"48,639",800,18.6,0.3,"2,027",145.0,0.8,0.1
..Householder,"83,918","29,311",321,34.9,0.4,"20,154",278.0,24.0,0.3,"10,037",223,12.0,0.3,"1,090",84.0,1.3,0.1
..Related children under 18,"70,976","24,855",443,35.0,0.6,270,50.0,0.4,0.1,"24,593",439,34.6,0.6,99,40.0,0.1,0.1
....Related children under 6,"22,191","8,207",230,37.0,1.0,75,26.0,0.3,0.1,"8,122",229,36.6,1.0,26,17.0,0.1,0.1
In unrelated subfamilies,"1,017",389,70,38.3,5.2,31,19.0,3.1,1.9,355,68,34.9,5.2,5,4.0,0.4,0.4
Unrelated individuals,"62,774","25,792",474,41.1,0.6,"18,890",356.0,30.1,0.5,"8,927",347,14.2,0.5,948,90.0,1.5,0.1
Race3 and Hispanic Origin,,,,,,,,,,,,,,,,,
White,"247,763","84,895",803,34.3,0.3,"49,435",362.0,20.0,0.1,"38,459",767,15.5,0.3,"2,297",148.0,0.9,0.1
"..White, not Hispanic","194,230","65,731",707,33.8,0.4,"44,474",342.0,22.9,0.2,"23,503",667,12.1,0.3,"2,030",134.0,1.0,0.1
Black,"43,427","17,986",353,41.4,0.8,"6,540",128.0,15.1,0.3,"12,373",356,28.5,0.8,438,59.0,1.0,0.1
Asian,"20,125","5,424",230,27.0,1.1,"2,668",91.0,13.3,0.4,"3,177",220,15.8,1.1,95,30.0,0.5,0.1
Hispanic (any race),"61,160","21,951",434,35.9,0.7,"5,473",121.0,8.9,0.2,"17,324",423,28.3,0.7,313,59.0,0.5,0.1
Age,,,,,,,,,,,,,,,,,
Under 65 years,"269,802","61,071",916,22.6,0.3,"7,659",296.0,2.8,0.1,"54,398",879,20.2,0.3,"1,704",133.0,0.6,Z
..Under 19 years 4,"76,156","26,767",467,35.1,0.6,300,54.0,0.4,0.1,"26,478",463,34.8,0.6,102,39.0,0.1,0.1
....Under 3 years 5,"10,688","4,123",156,38.6,1.4,48,22.0,0.5,0.2,"4,069",157,38.1,1.4,14,16.0,0.1,0.1
....3 to 5 years,"11,800","4,296",144,36.4,1.2,27,11.0,0.2,0.1,"4,265",144,36.1,1.2,12,7.0,0.1,0.1
....6 to 11 years,"24,397","8,878",212,36.4,0.9,96,26.0,0.4,0.1,"8,794",209,36.0,0.9,31,17.0,0.1,0.1
....12 to 18 years,"29,271","9,469",233,32.3,0.8,128,31.0,0.4,0.1,"9,349",232,31.9,0.8,46,20.0,0.2,0.1
