Private Total Number,Employment Based Number,Direct Purchase Number,Tricare Number
220848,183005,33170,8534
182485,153350,24733,7592
60605,49517,9680,2596
45381,40350,3658,1877
13835,12187,1065,729
551,457,74,26
37811,29197,8363,916
173795,142811,27523,6458
146347,119598,23827,5542
23718,20507,2550,1057
14810,12428,2228,436
31227,26383,4142,1144
192664,169322,19964,6630
48778,43336,3977,2015
6594,5770,472,414
7340,6501,603,319
15312,13622,1237,634
19532,17443,1664,647
143887,125986,15987,4614
20954,17998,2622,805
28951,25572,2967,1086
31296,28146,2733,915
62686,54270,7665,1807
28183,13682,13206,1904
109124,91005,15650,4454
111724,92000,17521,4080
194926,162102,28216,7974
25921,20903,4954,560
14556,11743,2641,428
11366,9159,2314,132
38985,33356,5698,710
49384,41499,7638,1206
80678,65787,11705,4385
51800,42363,8129,2232
9682,5388,3899,545
25472,17842,6968,1127
34022,26851,6129,1751
32739,27184,4727,1455
29024,25178,3195,1067
20802,18179,2314,694
69105,62383,5939,1896
155265,136116,16957,5011
127061,113640,12255,3513
96778,88182,7467,2497
30283,25457,4788,1016
28204,22477,4702,1498
155265,136116,16957,5011
7117,5699,1118,418
147174,130216,15832,3629
122932,107988,13365,3809
5346,4338,1012,59
28030,24042,3656,796
17923,15575,1882,769
14272,12556,1399,553
35535,31559,3649,998
21827,19919,1767,634
127061,113640,12255,3513
34791,27508,7386,671
8619,7738,894,152
15646,14805,873,283
7215,6840,344,121
60789,56748,2758,2286
220691,182866,33158,8527
7769,5172,2225,474
13288,8949,3816,705
20467,14650,5276,929
30812,23571,6327,1479
31284,25660,4821,1333
130358,113813,14510,4313
81530,70045,9829,3127
78854,66985,10528,2592
46930,36989,8939,1880
10735,7342,2854,709
2800,1644,1020,226
143887,125986,15987,4614
84045,74212,7942,3552
1876,1485,374,55
12335,10642,1625,225
1971,1704,261,30
43659,37942,5785,753
194412,162465,27817,7481
66904,56312,9457,2438
127508,106153,18359,5043
26435,20540,5354,1052
